UAB(p.u.),UFD(V),IFD(A)
4.7821,3.453,5.4007
10.138,9.3585,16.967
20.055,18.911,34.986
30.304,28.493,52.887
40.213,37.648,70.304
49.995,46.747,87.345
59.868,55.845,104.45
69.831,65.344,122.96
79.489,75.765,142.39
84.888,81.565,153.67
89.841,87.55,164.85
94.919,94.856,178.4
99.748,101.88,191.62
104.88,110.76,207.71
109.84,120.92,225.04
114.81,131.55,245.74
119.76,144.53,270.41
