UAB(%),UFD(V),IFD(A)
10.0155,13.302,69.8332
30.0236,45.8484,264.9497
49.9904,78.3854,447.9861
60.3156,90.9085,536.1783
69.9396,108.1884,624.6899
79.6952,121.9524,743.0076
84.8121,137.8474,790.7829
89.8807,147.307,861.1587
94.7418,153.9299,942.3458
99.7852,169.6987,1116.1017
104.8717,190.9291,1127.5835
109.5773,213.3272,1221.9296
115.7167,234.5957,1428.7017
119.2013,258.5112,1651.7113
